CP,Năm,Kỳ,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng),symbol,Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư vào công ty liên doanh,Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định hữu hình,Tài sản cố định vô hình,Tài sản Có khác,Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Đầu tư vào công ty con,Tài sản cố định thuê tài chính,Chênh lệch đánh giá lại tài sản,Cổ đông thiểu số,Lợi thế thương mại,Vốn Ngân sách nhà nước và quỹ khác,_Các quỹ khác
AAA,2025,1,4793960251895,2106077190958,166190744500,1551510885796,827536022226,142645408415,7390793127094,358500000000,2761543900470,1288373702912,560680486783,796420488348,12184753378989,6147473304346,3056908025337,3090565279009,6037280074643,6037280074643,18751291534,594090173477,649389862313,12184753378989,757805242346,1500000000,827589373521,0,80481616464,3822744960000,3822744960000,0,1351917515112,121551366911,2043921126528,148576404757,633457666864,30456248808,30871204736,389371204736,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2024,4,6426369244563,2419517905105,718639358712,1801012289922,1286443372106,200756318718,7341846339892,358500000000,3037270806863,1303970692613,254217998561,1136863151319,13768215584455,7531941631255,4132594319010,3399347312245,6236273953200,6236273953200,18751291534,539311728597,902455310817,13768215584455,548902941301,1500000000,1288143128446,0,80481616464,3822744960000,3822744960000,0,1339620732954,135152896271,2554855324899,156430635657,966201588541,30376592621,26148137968,384648137968,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2024,3,6956714508528,1945532019980,1346697394178,2303218872955,1138806271275,222459950140,6075525235098,358500000000,2717470957150,1324944634827,273912623253,955164387362,13032239743626,6955710255283,4136418106173,2819292149110,6076529488343,6076529488343,18751291534,269844663327,1022402946905,13032239743626,740033832744,290325328767,1139066069693,0,80481616464,3822744960000,3822744960000,0,779984342981,151267936143,2801596271811,43205589496,897925186661,49976592621,19413131805,377913131805,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2024,2,6152632538191,2188093990715,1318382250000,1585450329064,890797021045,169908947367,6115223219397,343300250000,1916572415553,1340350302192,1343884550537,881415303958,12267855757588,6105593398756,3607913079905,2497680318851,6162262358832,6162262358832,18751291534,782172256083,585026551130,12267855757588,655264859253,106738000000,891770591173,0,80481616464,3822744960000,3822744960000,0,547451539393,154634275729,2510129835339,44736658042,823302978572,0,10409193733,353709443733,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2024,1,5504717598034,2017366509375,197451050000,2530441102546,604260563714,155198372399,6181900412655,398934150000,1964597358066,1358591960902,1353097235679,879836245565,11686618010689,5623021220528,3411149443389,2211871777139,6063596790161,6063596790161,18751291534,693519845467,586511698011,11686618010689,698841814064,759308754048,605617802847,0,80481616464,3822744960000,3822744960000,0,329579423872,115433010516,2382591097052,46267726588,816694523674,0,6590980260,405525130260,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2023,4,5688336332807,2435058282465,1079609986000,1232500178273,760810693155,180357192914,5846639913087,77154150000,1946902023233,1317371277837,1328045371157,873382788410,11534976245894,5614689992713,3746883819114,1867806173599,5920286253181,5920286253181,18751291534,565860941388,571368089756,11534976245894,343902777299,63067844806,762527847268,0,80481616464,3822744960000,3822744960000,0,358670895783,144718492819,2625493361173,57203184735,801064621258,0,5143119278,84392803593,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2023,3,5858655780805,1689712971535,1391367436000,1922463914793,690502336003,164609122474,5751606062962,143345750000,1998478887675,468794498332,1317954806265,827567134188,11610261843767,5162454215090,3206291903677,1956162311413,6447807628677,6447807628677,18751291534,893732261191,772208164353,11610261843767,317819969095,296549690310,704118740818,0,80481616464,3822744960000,3822744960000,0,1099098717329,118527164622,2055450182038,58981737219,762222868167,0,9859920408,153205670408,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2023,2,6040107176096,1367496215370,1506625000000,1379548589695,1559082860922,227354510109,5189927737183,111910000000,2062651076560,477372811811,1306032417107,900076803830,11230034913279,4885759889773,3596439506682,1289320383091,6344275023506,6344275023506,18751291534,797055737811,770159411296,11230034913279,329637197645,59897289636,1582848352787,0,80481616464,3822744960000,3822744960000,0,1143790699303,266498373972,2103986867520,60714229541,834027705706,0,7987139470,119897139470,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2023,1,5674658316737,1827056484454,697156000000,1848856141722,1135368241370,166221449191,5227312943630,51940160000,2018003467301,487328076836,1582738207943,301051591601,10901971260367,4670840550735,3265392932493,1405447618242,6231130709632,6231130709632,44744930000,773594528190,660472823778,10901971260367,283889830619,385493358986,1154741772552,0,80481616464,3822744960000,3822744960000,0,1228962193450,145738903079,2166459218015,31449319555,265933929708,0,15734185186,137514792584,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2022,4,5623485000285,1655456757815,436156000000,1551890327952,1776319126153,203662788365,5157831431634,940160000,2077458744071,497283341861,1494090455165,308638603479,10781316431919,4613713019899,3195249080486,1418463939413,6167603412020,6167603412020,44744930000,717576194474,651740713232,10781316431919,256752902117,176995600000,1846699548793,0,80481616464,3822744960000,3822744960000,0,1242368724012,147950965344,1887821444978,32469590996,270203822136,0,15735626640,86913682992,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
