mã cổ phiếu,năm báo cáo,kỳ báo cáo,lợi nhuận/lỗ trước thuế,khấu hao và phân bổ,dự phòng rủi ro tín dụng,lãi/lỗ tỷ giá chưa thực hiện,lãi/lỗ từ thanh lý tài sản cố định,lãi/lỗ từ hoạt động đầu tư,chi phí lãi vay,lợi nhuận hoạt động trước thay đổi vốn lưu động,tăng/giảm khoản phải thu,tăng/giảm hàng tồn kho,tăng/giảm khoản phải trả,tăng/giảm chi phí trả trước,lãi vay đã trả,thuế TNDN đã nộp,các khoản thu khác từ hoạt động kinh doanh,các khoản chi khác từ hoạt động kinh doanh,luồng tiền thuần từ hoạt động kinh doanh,chi mua tài sản cố định,thu từ thanh lý tài sản cố định,"cho vay, mua công cụ nợ","thu hồi khoản cho vay, bán công cụ nợ",đầu tư vào các đơn vị khác,thu từ thoái vốn ở các đơn vị khác,lãi từ cổ tức,luồng tiền thuần từ hoạt động đầu tư,tăng vốn điều lệ,thu từ vay nợ,trả nợ gốc vay,thanh toán gốc thuê tài chính,chi trả cổ tức,luồng tiền thuần từ hoạt động tài chính,tăng/giảm thuần tiền và tương đương tiền,tiền và tương đương tiền đầu kỳ,điều chỉnh chênh lệch tỷ giá,tiền và tương đương tiền cuối kỳ,lợi nhuận từ các hoạt động khác,luồng tiền từ hoạt động kinh doanh trước thuế TNDN,chi từ quỹ dự phòng,chi mua lại cổ phiếu,thu nhập từ lãi và cổ tức,tăng/giảm khoản phải thu (dự phòng),tăng/giảm khoản phải trả (dự phòng),cổ tức đã nhận
AAA,2025,1,68490244130,131683853040,-1012389278,-822206533,0,83780280365,40409600529,322529382253,-409561376438,133904914117,42042558551,-19220641827,-52037215089,-77485012628,0,-8444068137,-68271459198,-665452179849,972592591,-215732079606,632809250429,0,-205916083247,43917536798,-409400962884,0,1743983883487,-1576053168725,-3502410204,-55000000,164373304558,-313299117524,2419517905105,-141596623,2106077190958,,,,,,,,
AAA,2024,4,98315358351,140838609929,2503038058,-8992148908,0,69567332283,51829594558,354061784271,279527719101,-212325613367,134088136550,-5499392672,-60145148046,-3972261559,0,-7607651930,478127572348,-487078434130,13108357881,259290666767,768068979249,-829315535422,980000000,50648668782,-224297296873,0,2189378260309,-1980667866373,-3502410204,0,205207983732,459038259207,1945532019980,14947625918,2419517905105,,,,,,,,
AAA,2024,3,-27915231028,81806145599,143380938,21643938611,0,-28790374292,36376915834,83264775662,-269764845303,69125306894,147006907967,1283122153,-28728048279,-668101215,0,-5738740706,-4219622827,-156864177958,1652861954,-330701217945,199336846825,-81900830076,187500000,4133604945,-364155412255,0,1841320124377,-1676212552889,0,0,165107571488,-203267463594,2188093990715,-39294507141,1945532019980,,,,,,,,
AAA,2024,2,177234822276,86460873829,3923958950,-19436035413,0,-44363994548,42434224106,246253849200,357594984555,-286190999663,68501270137,7943781367,-49111042138,-18131873861,0,-19141807949,307718161648,-161897844756,19809066533,-1046805091028,638068374880,0,0,34259512218,-516565982153,0,1711495211246,-1374335447935,0,0,337159763311,128311942806,2017366509375,42415538534,2188093990715,,,,,,,,
AAA,2024,1,167931087561,91337486865,-352690563,0,0,-60920062337,37415239242,235411060768,-465715173002,177706047827,308281803900,-27804390855,-36779880432,-10445397963,0,-3366327198,177287743045,-232275863255,528233500,-1199063158972,1063010085730,-33120000000,10000000000,80723292089,-310197410908,0,1211587610415,-1485454686996,0,-10532850000,-284399926581,-417309594444,2435058282483,-382178664,2017366509375,,,,,,,,
AAA,2023,4,109937088896,88896769206,2798290586,-8615650660,0,-86334887927,62673329448,169354939549,597907657686,-58402706875,567212443017,-32749012751,-108293191308,-55968239888,0,-5009574698,1074052314732,-181665649920,64117964,-184320315484,722225720000,-603975000000,0,49726386229,-197944741211,0,1522961842298,-1650773058457,0,-23343500,-127834559659,748273013862,1689712971535,-2927702932,2435058282465,,,,,,,,
AAA,2023,3,127058228364,82899563127,-10149087050,-7776511050,0,-51721638458,48683673846,188994228779,-242725869026,705005970756,297014231771,3669156161,-36145502874,-695575853,0,-3172197230,911944442484,-375926041639,1155130364,-512427464868,359734310000,-4748600000,0,23132599559,-509080066584,0,1796927814677,-1882099216396,0,0,-85171401719,317692974181,1367496215370,4523781984,1689712971535,,,,,,,,
AAA,2023,2,64016674724,79903010743,4527105530,7776511050,0,-53320370968,48655395994,151558327073,399399558618,-393922719770,15871558160,138280404,-61947385261,-383262390,0,-5967343607,104747013227,-5244518525,5669990545,-632254310650,291517800000,-46945861403,0,42351595276,-344905304757,0,1520426312223,-1747016703620,0,-104000000,-226694391397,-466852682927,1827056484454,7292413843,1367496215370,,,,,,,,
AAA,2023,1,79243931236,78929940763,-51606850211,0,0,-44901416718,47183323669,108848928739,-242087350041,705838019395,-36367958626,-9800532569,-39504358359,-2964523858,0,-14860374203,469101850478,-14647760621,2172727273,-1073505058986,565507300000,-74200000000,0,48327932760,-546344859574,0,1562749667361,-1300227194324,0,0,262522473037,185279463941,1642978052440,-1201031927,1827056484454,,,,,,,,
AAA,2022,4,-159939726343,78720592438,72903141735,-4669068884,0,-62383783157,61111899455,-14256944756,167848220205,314319448458,99224101800,-2565528178,-63741091449,-55084318179,0,-16900655418,428843232483,-15139349352,280000000,-78365030000,359298770000,-78060000000,-77000000000,27047197404,138061588052,0,1680590002871,-1947195375732,0,0,-266605372861,300299447674,1353251366894,1905943247,1655456757815,,,,,,,,
