CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,symbol,Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,Thuế TNDN,Lãi cơ bản trên cổ phiếu
AAA,2025,1,0.3011040495,3857615161473,45239813399,-0.6641602796,37647668844,-37860213792,3857615161473,-1207059582,3856408101891,-3392693587392,463714514499,-162271190177,4307422594,-181532495943,-98239252481,63626667336,11198805094,0,-6335228300,4863576794,68490244130,-13539629730,561806441,55512420841,10272607442,45239813399,AAA,,,,,,,,,,,,,,,,,,
AAA,2024,4,0.4305353606,3844069138022,76186464918,-0.1875431313,91249831608,-49789576625,3844069138022,-1549525461,3842519612561,-3393914630919,448604981642,-68898239666,3971654058,-229528379756,-46666193570,198733654316,3807565493,0,-104225861458,-100418295965,98315358351,-37525854225,2885963798,63675467924,-12510996994,76186464918,AAA,,,,,,,,,,,,,,,,,,
AAA,2024,3,-0.0953264068,3194720984754,21799597923,-0.7799126723,33516838128,-33905226424,3194720984754,-1321449422,3193399535332,-2848063506913,345336028419,-38092712972,7564464721,-191007387234,-183779758052,-26462526990,874508486,0,-2327212524,-1452704038,-27915231028,1870420871,342912354,-25701897803,-47501495726,21799597923,AAA,,,,,,,,,,,,,,,,,,
AAA,2024,2,-0.002941405089,2784044828229,135887872408,2.214370445,98092361110,-40781649677,2784044828229,-1564742697,2782480085532,-2424146450534,358333634998,-53929325111,21455880482,-173233226618,-76353933733,174365391128,4414811284,0,-1545380136,2869431148,177234822276,-33386351113,-5934364992,137914106171,2026233763,135887872408,AAA,,,,,,,,,,,,,,,,,,
AAA,2024,1,-0.1804287851,2964878299224,134706559842,1.499403642,47863280080,-35048921226,2964878299224,-1046971601,2963831327623,-2632000466517,331830861106,-39801387126,23727758055,-123010462870,-73583410041,167026639204,1119155732,0,-214707375,904448357,167931087561,-26560017429,2523094307,143894164439,9187604597,134706559842,AAA,,,,,,,,,,,,,,,,,,
AAA,2023,4,-0.2133267493,2687154224910,93772934728,1.959544755,67921370313,-48476740408,2687154224910,-2575473135,2684578751775,-2375451450167,309127301608,-67250781564,22819564892,-135967900119,-89321724866,107327830264,4372115464,0,-3672034674,700080790,108027911054,-24597831305,8752453615,92182533364,-1590401364,93772934728,AAA,,,,,,,,,,,,,,,,,,
AAA,2023,3,0.07290048021,3531352090707,99049764272,0.2401967163,63082764650,-46635327606,3531352090707,-2273196017,3529078894690,-3209329498857,319749395833,-52837104055,11922389158,-146527042033,-71930869436,123459534117,6662250470,0,-3063556223,3598694247,127058228364,-24538430487,1027660219,103547458096,4497693824,99049764272,AAA,,,,,,,,,,,,,,,,,,
AAA,2023,2,-0.3901680576,2792257990090,42275112576,-0.5051206854,61416035204,-46607049754,2792257990090,-944663741,2791313326349,-2556304153355,235009172994,-59379004371,3570401793,-118984474113,-59741058059,61891073448,4640556916,0,-2514955640,2125601276,64016674724,-15813694251,1666526245,49869506718,7594394142,42275112576,AAA,,,,,,,,,,,,,,,,,,
AAA,2023,1,-0.1018549582,3617596915511,53895480338,-0.3881496079,47003239324,-45134977429,3617596915511,-883996058,3616712919453,-3370542435514,246170483939,-56006994655,14564670455,-109390083352,-66043720520,76297595191,3180093849,0,-233757804,2946336045,79243931236,-13692553202,-1754298152,63797079882,9901599544,53895480338,AAA,,,,,,,,,,,,,,,,,,
AAA,2022,4,-0.1870606019,3415845425613,-97726483611,-2.614844804,76956511432,-57560677981,3415845425613,-9286091326,3406559334287,-3372303457270,34255877017,-85428295752,16543417620,-129385434583,-74282129130,-161340053396,2648735254,0,-1248408201,1400327053,-159939726343,5919794061,1265826574,-152754105708,-55027622097,-97726483611,AAA,,,,,,,,,,,,,,,,,,
