mã tin tức,tiêu đề tin tức,news_sub_title,friendly_sub_title,liên kết hình ảnh,liên kết nguồn tin,ngày công bố,mã ngôn ngữ,mã định danh tin,nội dung tóm tắt,nội dung chi tiết,giá đóng cửa,giá tham chiếu,giá sàn,giá trần,tỷ lệ thay đổi giá,mã chứng khoán
7926418,AAA: Nghị quyết HĐQT về việc mua cổ phiếu CTCP Nhựa Hà Nội,,,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/vi/tin-tuc/aaa-nghi-quyet-hdqt-ve-viec-mua-co-phieu-ctcp-nhua-ha-noi/2387688,2025-07-11T16:28:48,vi,11630732,,"<p>Công ty Cổ phần Nhựa An Phát Xanh thông báo Nghị quyết HĐQT về việc mua cổ phiếu CTCP Nhựa Hà Nội như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-07/2025-07-11/AAA/20250711--AAA--NQ-HDQT-Vv-Mua-co-phieu-NHH-phan-phoi-lai.pdf"" title=""Tải về"" download>20250711--AAA--NQ-HDQT-Vv-Mua-co-phieu-NHH-phan-phoi-lai.pdf</a></td></tr></table>",7570,7700,7170,8230,-0.01688312,AAA
7820174,AAA: Thông báo ký kết hợp đồng kiểm toán BCTC 2025,,,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/vi/tin-tuc/aaa-thong-bao-ky-ket-hop-dong-kiem-toan-bctc-2025/2384268,2025-06-27T17:04:23,vi,11613415,,"<p>Công ty Cổ phần Nhựa An Phát Xanh thông báo ký kết hợp đồng kiểm toán BCTC 2025 như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-06/2025-06-27/AAA/20250627--AAA--CBTT-Vv-Ky-hop-dong-kiem-toan-BCTC-nam-2025.pdf"" title=""Tải về"" download>20250627--AAA--CBTT-Vv-Ky-hop-dong-kiem-toan-BCTC-nam-2025.pdf</a></td></tr></table>",7170,7160,6660,7660,0.00139665,AAA
7787999,AAA: Link công bố báo cáo thường niên 2024 bản thiết kế,,,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/vi/tin-tuc/aaa-link-cong-bo-bao-cao-thuong-nien-2024-ban-thiet-ke/2382718,2025-06-20T18:25:45,vi,11605918,,"<p>Công ty Cổ phần Nhựa An Phát Xanh thông báo link công bố báo cáo thường niên 2024 bản thiết kế như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-06/2025-06-20/AAA/20250620--AAA--Link-truy-cap-Bao-cao-thuong-nien-2024-Ban-thiet-ke.pdf"" title=""Tải về"" download>20250620--AAA--Link-truy-cap-Bao-cao-thuong-nien-2024-Ban-thiet-ke.pdf</a></td></tr></table>",7150,7160,6660,7660,-0.00139665,AAA
7776080,AAA: Nghị quyết HĐQT về việc thực hiện quyền mua cổ phiếu NHH,,,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/vi/tin-tuc/aaa-nghi-quyet-hdqt-ve-viec-thuc-hien-quyen-mua-co-phieu-nhh/2382354,2025-06-20T10:56:54,vi,11605043,,"<p>Công ty Cổ phần Nhựa An Phát Xanh thông báo Nghị quyết HĐQT về việc thực hiện quyền mua cổ phiếu NHH như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-06/2025-06-20/AAA/20250620--AAA--NQ-HDQT-Vv-Thuc-hien-quyen-mua-co-phieu-NHH.pdf"" title=""Tải về"" download>20250620--AAA--NQ-HDQT-Vv-Thuc-hien-quyen-mua-co-phieu-NHH.pdf</a></td></tr></table>",7150,7160,6660,7660,-0.00139665,AAA
7561188,AAA: Thông báo về ngày đăng ký cuối cùng trả cổ tức năm 2024 bằng tiền,,,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/vi/tin-tuc/aaa-thong-bao-ve-ngay-dang-ky-cuoi-cung-tra-co-tuc-nam-2024-bang-tien/2375826,2025-05-21T09:23:59,vi,11587353,,"<p>Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo về ngày đăng ký cuối cùng trả cổ tức năm 2024 bằng tiền của Công ty Cổ phần Nhựa An Phát Xanh như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-21/AAA/20250521--AAA--TB-936-chot-danh-sach-tra-co-tuc.pdf"" title=""Tải về"" download>20250521--AAA--TB-936-chot-danh-sach-tra-co-tuc.pdf</a></td></tr></table>",7220,7330,6820,7840,-0.01500682,AAA
7507881,AAA: Thông báo và Nghị quyết HĐQT về việc thực hiện chi trả cổ tức năm 2024 bằng tiền mặt,,,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/vi/tin-tuc/aaa-thong-bao-va-nghi-quyet-hdqt-ve-viec-thuc-hien-chi-tra-co-tuc-nam-2024-bang-tien-mat/2374031,2025-05-13T17:00:51,vi,11570797,,"<p>Công ty Cổ phần Nhựa An Phát Xanh công bố Thông báo và Nghị quyết HĐQT về việc thực hiện chi trả cổ tức năm 2024 bằng tiền mặt như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-13/AAA/20250513--AAA--NQ-HdQT-vv-thuc-hien-chi-tra-co-tuc-2024-bang-tien.pdf"" title=""Tải về"" download>20250513--AAA--NQ-HdQT-vv-thuc-hien-chi-tra-co-tuc-2024-bang-tien.pdf</a></td></tr></table>",7230,7130,6640,7620,0.01402525,AAA
7438067,AAA: Giải trình chênh lệch lợi nhuận sau thuế quý 1/2025 so với quý 1/2024,,,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/Modules/Cms/Web/LoadArticle?id=37a8dc87-aae1-49de-9137-5cf08a687e67,2025-04-29T17:32:00,vi,11559600,,"<p>Công ty Cổ phần Nhựa An Phát Xanh thông báo giải trình lợi nhuận sau thuế quý 1/2025 so với quý 1/2024 như sau: </p>

<table style=""text-align: left;border=0"" width=""100%"">
	<tbody>
		<tr>
			<td colspan=""2"">
			<hr /></td>
		</tr>
		<tr>
			<td colspan=""2"">Tài liệu đính kèm</td>
		</tr>
		<tr>
			<td> </td>
			<td>
			<p><a download="""" href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-04/2025-04-29/20250429_20250429-AAA-Giai-trinh-chenh-lech-LNST-tai-BCTC-Quy-1.2025-so-voi-cung-ky-nam-truoc.pdf"" title=""Tải về"">20250429_20250429-AAA-Giai-trinh-chenh-lech-LNST-tai-BCTC-Quy-1.2025-so-voi-cung-ky-nam-truoc.pdf</a></p>

			<p>Báo cáo tài chính quý 1/2025 (<a href=""https://cdn.fiingroup.vn/medialib/11335/F/2025/05/05/08574282587390700_AAA_BCTC_Q1_2025_RL.pdf"">riêng lẻ</a> + <a href=""https://cdn.fiingroup.vn/medialib/11335/F/2025/05/05/08573422291400700_AAA_BCTC_Q1_2025_HN.pdf"">hợp nhất</a>)</p>
			</td>
		</tr>
	</tbody>
</table>
",6970,6980,6500,7460,-0.00143266,AAA
7378447,AAA: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2025,,,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/Modules/Cms/Web/LoadArticle?id=739bce77-1dab-42df-82ee-fd5e47816f54,2025-04-28T18:25:00,vi,11557857,,"<p> Công ty Cổ phần Nhựa An Phát Xanh thông báo Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2025 như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-04/2025-04-28/20250428_20250428-AAA-Bien-ban-hop-Nghi-quyet-DHDCD-thuong-nien-2025.pdf"" title=""Tải về"" download>20250428_20250428-AAA-Bien-ban-hop-Nghi-quyet-DHDCD-thuong-nien-2025.pdf</a></td></tr></table>",6980,6990,6510,7470,-0.00143062,AAA
7378445,AAA: Điều lệ công ty,,,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/Modules/Cms/Web/LoadArticle?id=adf1e579-c851-403a-b383-8e3fe096f33b,2025-04-28T18:22:00,vi,11557855,,"<p> Công ty Cổ phần Nhựa An Phát Xanh thông báo Điều lệ công ty như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-04/2025-04-28/20250428_20250428-AAA-Dieu-le-Cong-ty-ban-sua-doi-thang-4.2025.pdf"" title=""Tải về"" download>20250428_20250428-AAA-Dieu-le-Cong-ty-ban-sua-doi-thang-4.2025.pdf</a></td></tr></table>",6980,6990,6510,7470,-0.00143062,AAA
7278021,AAA: Nghị quyết HĐQT về việc chuyển nhượng cổ phần tại Navisoft,,,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/Modules/Cms/Web/LoadArticle?id=206cc2e1-b255-4640-a00a-f1be310eb208,2025-04-21T10:00:00,vi,11547771,,"<p>Công ty Cổ phần Nhựa An Phát Xanh thông báo Nghị quyết HĐQT về việc chuyển nhượng cổ phần tại Navisoft như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-04/2025-04-21/20250421_20250418-AAA-NQ-H-QT-vv-Chuyen-nhuong-co-phan-tai-Navisoft.pdf"" title=""Tải về"" download>20250421_20250418-AAA-NQ-H-QT-vv-Chuyen-nhuong-co-phan-tai-Navisoft.pdf</a></td></tr></table>",6900,7000,6510,7490,-0.01428571,AAA
