thời gian,giá mở cửa,giá cao nhất,giá thấp nhất,giá đóng cửa,khối lượng giao dịch,mã chứng khoán
2023-01-03,6.54,6.87,6.54,6.87,1543984,AAA
2023-01-04,6.87,7.0,6.83,6.83,1302505,AAA
2023-01-05,6.87,6.9,6.81,6.89,980473,AAA
2023-01-06,6.89,6.99,6.82,6.86,1431699,AAA
2023-01-09,6.91,6.96,6.76,6.79,1121385,AAA
2023-01-10,6.72,6.89,6.69,6.79,1397598,AAA
2023-01-11,6.87,6.96,6.82,6.9,1038676,AAA
2023-01-12,6.9,6.96,6.87,6.9,850484,AAA
2023-01-13,6.96,6.99,6.84,6.84,1755136,AAA
2023-01-16,6.87,6.9,6.82,6.88,1241006,AAA
2023-01-17,6.95,7.11,6.89,7.11,2365734,AAA
2023-01-18,7.12,7.3,7.11,7.28,2253033,AAA
2023-01-19,7.28,7.33,7.17,7.29,2353088,AAA
2023-01-27,7.44,7.53,7.38,7.48,3119310,AAA
2023-01-30,7.49,8.0,7.49,8.0,8002819,AAA
2023-01-31,7.79,7.97,7.78,7.89,6818756,AAA
2023-02-01,7.93,8.44,7.86,7.92,10736731,AAA
2023-02-02,7.97,8.16,7.89,7.97,5729275,AAA
2023-02-03,8.08,8.16,7.74,7.78,4344607,AAA
2023-02-06,7.8,7.92,7.77,7.92,3169321,AAA
2023-02-07,7.92,8.07,7.78,7.87,3592761,AAA
2023-02-08,7.86,7.98,7.78,7.91,3350624,AAA
2023-02-09,7.93,8.35,7.88,8.28,5620209,AAA
2023-02-10,8.34,8.41,8.05,8.05,4136253,AAA
2023-02-13,8.01,8.04,7.49,7.49,6506463,AAA
2023-02-14,7.49,7.95,7.49,7.66,1931137,AAA
2023-02-15,7.68,7.97,7.68,7.86,2584060,AAA
2023-02-16,7.87,8.07,7.87,7.96,1746410,AAA
2023-02-17,7.96,8.07,7.93,7.97,2155060,AAA
2023-02-20,7.9,8.53,7.9,8.53,9740699,AAA
2023-02-21,8.57,8.82,8.45,8.5,4730669,AAA
2023-02-22,8.35,8.54,8.25,8.26,4623184,AAA
2023-02-23,8.26,8.48,8.16,8.48,3058381,AAA
2023-02-24,8.48,8.76,8.36,8.36,2727850,AAA
2023-02-27,8.35,8.73,8.31,8.35,3481054,AAA
2023-02-28,8.48,8.53,8.32,8.35,1625035,AAA
2023-03-01,8.35,8.74,8.34,8.74,4574891,AAA
2023-03-02,8.79,8.83,8.65,8.69,1817849,AAA
2023-03-03,8.71,8.76,8.29,8.35,3055105,AAA
2023-03-06,8.45,8.69,8.33,8.45,2291136,AAA
2023-03-07,8.57,8.57,8.41,8.45,2303837,AAA
2023-03-08,8.45,8.58,8.4,8.55,1515701,AAA
2023-03-09,8.6,8.64,8.54,8.64,1567854,AAA
2023-03-10,8.64,8.93,8.62,8.82,4824062,AAA
2023-03-13,8.67,8.82,8.66,8.82,1713762,AAA
2023-03-14,8.83,8.83,8.35,8.5,3471114,AAA
2023-03-15,8.64,8.92,8.6,8.88,5475950,AAA
2023-03-16,8.75,8.79,8.6,8.64,2844488,AAA
2023-03-17,8.8,8.82,8.63,8.7,1885141,AAA
2023-03-20,8.65,8.73,8.44,8.45,2042075,AAA
2023-03-21,8.54,8.54,8.33,8.47,2484211,AAA
2023-03-22,8.6,8.61,8.45,8.5,869076,AAA
2023-03-23,8.38,8.64,8.35,8.58,1787050,AAA
2023-03-24,8.52,8.66,8.52,8.64,2129609,AAA
2023-03-27,8.63,8.71,8.59,8.69,1554811,AAA
2023-03-28,8.83,8.83,8.63,8.68,1718227,AAA
2023-03-29,8.72,8.82,8.62,8.68,1124850,AAA
2023-03-30,8.75,9.03,8.69,8.92,5656294,AAA
2023-03-31,8.94,9.08,8.76,8.92,1790314,AAA
2023-04-03,8.93,9.07,8.93,9.0,2728586,AAA
2023-04-04,9.03,9.08,8.94,9.03,2498360,AAA
2023-04-05,9.07,9.17,8.93,8.98,2228921,AAA
2023-04-06,9.0,9.58,9.0,9.2,7394129,AAA
2023-04-07,9.21,9.24,9.03,9.07,1926568,AAA
2023-04-10,9.22,9.41,8.86,9.07,3198980,AAA
2023-04-11,8.98,9.13,8.92,9.12,1265296,AAA
2023-04-12,9.11,9.11,8.98,9.0,1569651,AAA
2023-04-13,8.99,9.0,8.81,8.83,2150146,AAA
2023-04-14,8.85,8.95,8.81,8.83,1837582,AAA
2023-04-17,8.84,8.92,8.8,8.91,1048510,AAA
2023-04-18,8.91,9.05,8.91,9.05,1910576,AAA
2023-04-19,9.05,9.08,8.99,9.0,1988691,AAA
2023-04-20,9.01,9.13,9.01,9.07,1802470,AAA
2023-04-21,9.07,9.23,8.91,9.18,2815078,AAA
2023-04-24,9.21,9.31,9.09,9.2,1756589,AAA
2023-04-25,9.19,9.29,9.0,9.11,1836049,AAA
2023-04-26,9.05,9.75,9.03,9.75,12641085,AAA
2023-04-27,9.89,10.32,9.89,10.23,7480141,AAA
2023-04-28,10.32,10.56,9.8,10.08,7846177,AAA
2023-05-04,9.99,10.52,9.89,10.32,7137201,AAA
2023-05-05,10.37,10.66,10.08,10.32,5048769,AAA
2023-05-08,10.28,10.56,9.94,9.94,6265288,AAA
2023-05-09,10.04,10.47,9.8,10.47,6270954,AAA
2023-05-10,10.56,10.8,10.28,10.47,6858561,AAA
2023-05-11,10.52,10.76,10.28,10.56,5425510,AAA
2023-05-12,10.56,10.71,10.28,10.32,4723717,AAA
2023-05-15,10.47,10.8,10.32,10.56,8643799,AAA
