mã tin tức,tiêu đề tin tức,liên kết hình ảnh,liên kết nguồn tin,ngày công bố,mã ngôn ngữ,mã định danh tin,nội dung tóm tắt,nội dung chi tiết,giá đóng cửa,giá tham chiếu,giá sàn,giá trần,tỷ lệ thay đổi giá,mã chứng khoán
7561188,AAA: Thông báo về ngày đăng ký cuối cùng trả cổ tức năm 2024 bằng tiền,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/vi/tin-tuc/aaa-thong-bao-ve-ngay-dang-ky-cuoi-cung-tra-co-tuc-nam-2024-bang-tien/2375826,2025-05-21 09:23:59,vi,11587353,,"<p>Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo về ngày đăng ký cuối cùng trả cổ tức năm 2024 bằng tiền của Công ty Cổ phần Nhựa An Phát Xanh như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-21/AAA/20250521--AAA--TB-936-chot-danh-sach-tra-co-tuc.pdf"" title=""Tải về"" download>20250521--AAA--TB-936-chot-danh-sach-tra-co-tuc.pdf</a></td></tr></table>",7220.0,7330.0,6820.0,7840.0,-0.01500682,AAA
7507881,AAA: Thông báo và Nghị quyết HĐQT về việc thực hiện chi trả cổ tức năm 2024 bằng tiền mặt,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/vi/tin-tuc/aaa-thong-bao-va-nghi-quyet-hdqt-ve-viec-thuc-hien-chi-tra-co-tuc-nam-2024-bang-tien-mat/2374031,2025-05-13 17:00:51,vi,11570797,,"<p>Công ty Cổ phần Nhựa An Phát Xanh công bố Thông báo và Nghị quyết HĐQT về việc thực hiện chi trả cổ tức năm 2024 bằng tiền mặt như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-13/AAA/20250513--AAA--NQ-HdQT-vv-thuc-hien-chi-tra-co-tuc-2024-bang-tien.pdf"" title=""Tải về"" download>20250513--AAA--NQ-HdQT-vv-thuc-hien-chi-tra-co-tuc-2024-bang-tien.pdf</a></td></tr></table>",7230.0,7130.0,6640.0,7620.0,0.01402525,AAA
7438067,AAA: Giải trình chênh lệch lợi nhuận sau thuế quý 1/2025 so với quý 1/2024,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/Modules/Cms/Web/LoadArticle?id=37a8dc87-aae1-49de-9137-5cf08a687e67,2025-04-29 17:32:00,vi,11559600,,"<p>Công ty Cổ phần Nhựa An Phát Xanh thông báo giải trình lợi nhuận sau thuế quý 1/2025 so với quý 1/2024 như sau: </p>

<table style=""text-align: left;border=0"" width=""100%"">
	<tbody>
		<tr>
			<td colspan=""2"">
			<hr /></td>
		</tr>
		<tr>
			<td colspan=""2"">Tài liệu đính kèm</td>
		</tr>
		<tr>
			<td> </td>
			<td>
			<p><a download="""" href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-04/2025-04-29/20250429_20250429-AAA-Giai-trinh-chenh-lech-LNST-tai-BCTC-Quy-1.2025-so-voi-cung-ky-nam-truoc.pdf"" title=""Tải về"">20250429_20250429-AAA-Giai-trinh-chenh-lech-LNST-tai-BCTC-Quy-1.2025-so-voi-cung-ky-nam-truoc.pdf</a></p>

			<p>Báo cáo tài chính quý 1/2025 (<a href=""https://cdn.fiingroup.vn/medialib/11335/F/2025/05/05/08574282587390700_AAA_BCTC_Q1_2025_RL.pdf"">riêng lẻ</a> + <a href=""https://cdn.fiingroup.vn/medialib/11335/F/2025/05/05/08573422291400700_AAA_BCTC_Q1_2025_HN.pdf"">hợp nhất</a>)</p>
			</td>
		</tr>
	</tbody>
</table>
",6970.0,6980.0,6500.0,7460.0,-0.00143266,AAA
7378447,AAA: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2025,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/Modules/Cms/Web/LoadArticle?id=739bce77-1dab-42df-82ee-fd5e47816f54,2025-04-28 18:25:00,vi,11557857,,"<p> Công ty Cổ phần Nhựa An Phát Xanh thông báo Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2025 như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-04/2025-04-28/20250428_20250428-AAA-Bien-ban-hop-Nghi-quyet-DHDCD-thuong-nien-2025.pdf"" title=""Tải về"" download>20250428_20250428-AAA-Bien-ban-hop-Nghi-quyet-DHDCD-thuong-nien-2025.pdf</a></td></tr></table>",6980.0,6990.0,6510.0,7470.0,-0.00143062,AAA
7378445,AAA: Điều lệ công ty,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/Modules/Cms/Web/LoadArticle?id=adf1e579-c851-403a-b383-8e3fe096f33b,2025-04-28 18:22:00,vi,11557855,,"<p> Công ty Cổ phần Nhựa An Phát Xanh thông báo Điều lệ công ty như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-04/2025-04-28/20250428_20250428-AAA-Dieu-le-Cong-ty-ban-sua-doi-thang-4.2025.pdf"" title=""Tải về"" download>20250428_20250428-AAA-Dieu-le-Cong-ty-ban-sua-doi-thang-4.2025.pdf</a></td></tr></table>",6980.0,6990.0,6510.0,7470.0,-0.00143062,AAA
7278021,AAA: Nghị quyết HĐQT về việc chuyển nhượng cổ phần tại Navisoft,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/Modules/Cms/Web/LoadArticle?id=206cc2e1-b255-4640-a00a-f1be310eb208,2025-04-21 10:00:00,vi,11547771,,"<p>Công ty Cổ phần Nhựa An Phát Xanh thông báo Nghị quyết HĐQT về việc chuyển nhượng cổ phần tại Navisoft như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-04/2025-04-21/20250421_20250418-AAA-NQ-H-QT-vv-Chuyen-nhuong-co-phan-tai-Navisoft.pdf"" title=""Tải về"" download>20250421_20250418-AAA-NQ-H-QT-vv-Chuyen-nhuong-co-phan-tai-Navisoft.pdf</a></td></tr></table>",6900.0,7000.0,6510.0,7490.0,-0.01428571,AAA
7269121,AAA: Báo cáo thường niên năm 2024,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/Modules/Cms/Web/LoadArticle?id=c1cbc793-66f3-4eff-ae06-b5612f3c20eb,2025-04-18 17:39:00,vi,11546620,,"<p>Công ty Cổ phần Nhựa An Phát Xanh công bố báo cáo thường niên năm 2024 như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-04/2025-04-18/20250418_20250418-AAA-Bao-cao-thuong-nien-nam-2024.pdf"" title=""Tải về"" download>20250418_20250418-AAA-Bao-cao-thuong-nien-nam-2024.pdf</a></td></tr></table>",7000.0,6670.0,6210.0,7130.0,0.04947526,AAA
7135855,"AAA:  Thông báo thời gian, địa điểm và link cung cấp tài liệu họp ĐHĐCĐ thường niên 2025",https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/Modules/Cms/Web/LoadArticle?id=f5df25f9-8f72-4121-8fee-5a347bd46139,2025-04-04 18:07:00,vi,11520036,"AAA:  Thông báo thời gian, địa điểm và link cung cấp tài liệu họp ĐHĐCĐ thường niên 2025","<p>Công ty Cổ phần Nhựa An Phát Xanh thông báo thời gian, địa điểm và link cung cấp tài liệu họp ĐHĐCĐ thường niên 2025 như sau: </p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-04/2025-04-04/20250404_20250404-AAA-CBTT-Vv-Thoi-gian-dia-diem-Link-tai-lieu-hop.pdf"" title=""Tải về"" download>20250404_20250404-AAA-CBTT-Vv-Thoi-gian-dia-diem-Link-tai-lieu-hop.pdf</a></td></tr></table>",7400.0,7950.0,7400.0,8500.0,-0.06918239,AAA
7054510,AAA:  Giải trình chênh lệch LNST BCTC riêng đã kiểm toán năm 2024 so với cùng kỳ năm trước,https://cdn.fiingroup.vn/medialib/74/I/2024/11/27/17234770928450700_AAA.jpg,https://www.hsx.vn/Modules/Cms/Web/LoadArticle?id=6316eeb2-693e-47d5-9a20-aa476420d2d4,2025-03-31 11:02:00,vi,11510559,AAA:  Giải trình chênh lệch LNST BCTC riêng đã kiểm toán năm 2024 so với cùng kỳ năm trước,"<p>Công ty Cổ phần Nhựa An Phát Xanh giải trình chênh lệch LNST BCTC riêng đã kiểm toán năm 2024 so với cùng kỳ năm trước như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-03/2025-03-31/20250331_20250331-AAA-Giai-trinh-chenh-lech-LNST-tai-BCTC-KT-2024-so-voi-nam-2023.pdf"" title=""Tải về"" download>20250331_20250331-AAA-Giai-trinh-chenh-lech-LNST-tai-BCTC-KT-2024-so-voi-nam-2023.pdf</a></td></tr></table>",8480.0,8430.0,7840.0,9020.0,0.0059312,AAA
6894292,"AAA bán gần 7,2 triệu cổ phiếu An Tiến Industries",https://cdn.fiingroup.vn/medialib/127379/I/2025/03/12/hii_16200003333710700.gif,https://vneconomy.vn//aaa-ban-gan-7-2-trieu-co-phieu-an-tien-industries.htm,2025-03-12 16:05:00,vi,11491092,"Giao dịch dự kiến được thực hiện từ ngày 14/03-11/04, theo phương thức thỏa thuận hoặc khớp lệnh.","<p>Công ty Cổ phần Nhựa An Phát Xanh (mã AAA-HOSE) thông báo Nghị quyết HĐQT về việc bán cổ phần HII và cử người đại diện vốn góp.</p>

<p>Theo đó, HĐQT AAA đã thông qua việc bán gần 7,2 triệu cp CTCP An Tiến Industries (mã HII-HOSE), chiếm 9,75% vốn tại HII, nhằm cơ cấu danh mục đầu tư.</p>

<p>Giao dịch dự kiến được thực hiện từ ngày 14/03-11/04, theo phương thức thỏa thuận hoặc khớp lệnh.</p>

<p>Nếu thành công, Nhựa An Phát Xanh sẽ giảm sở hữu HII từ hơn 40,4 triệu cp, chiếm 54,85% về hơn 33,2 triệu cp, chiếm 45,1%. Qua đó, AAA sẽ không còn là công ty mẹ của HII.</p>

<p>Đồng thời, AAA cử ông Nguyễn Trung Kiên (1986) là người đại diện phần vốn góp của công ty tại An Tiến Industries.</p>

<p>Trước đó, HĐQT AAA thông qua việc chuyển nhượng cổ phiếu HII, đồng thời cho HII thuê nhà xưởng, kho bãi của AAA với diện tích 3.400m3 thời hạn 3 năm với giá thuê dự kiến ban đầu là 73.000 đồng/m2/tháng và bán nguyên vật liệu phục vụ sản xuất compound cho HII theo thực tế kinh doanh và sản lượng mua theo thực tế.</p>

<p>Về kết quả kinh doanh, AAA ghi nhận doanh thu thuần hợp nhất năm 2024 đạt hơn 12.782 tỷ đồng và lợi nhuận đạt 310 tỷ đồng, tăng lần lượt 1% và 25% so với năm 2023. Kết quả này giúp Công ty vượt kế hoạch doanh thu 7% nhưng mới hoàn thành 82% kế hoạch lợi nhuận năm.</p>

<p>Tại cuối năm 2024, AAA có 17 công ty con. Nếu thành công, Nhựa An Phát Xanh sẽ còn 16 công ty con.</p>

<p>Trên thị trường, sau khi đạt mốc cao nhất vào ngày 29/5/2024 là 6.500 đồng/ cp thì nay giá cổ phiếu HII giảm chỉ có 4.620 đồng - tương ứng giảm 29% và tạm tính theo mức giá này, AAA có thể thu về hơn 33 tỷ đồng từ việc bán số cổ phiếu trên.</p>

<p>Trước đó, vào tháng 2, HĐQT Nhựa An Phát Xanh thông qua chuyển nhượng 48.65% vốn sở hữu trực tiếp tại CTCP An Thành Bicsol (gọi tắt là ATT) cho HII. Sau khi hoàn tất chuyển nhượng, tỷ lệ sở hữu vốn trực tiếp của AAA tại ATT giảm còn 0.03%, tương ứng 10,000 cp.</p>

<p>HII đang là công ty mẹ của ATT, sở hữu trực tiếp 51% vốn điều lệ, tương đương 16.26 triệu cp. Sau khi nhận chuyển nhượng 48.65% vốn ATT từ công ty mẹ AAA, HII sẽ tăng tỷ lệ sở hữu trực tiếp ATT lên 99.65%, tương đương 31.77 triệu cp.</p>

<p>An Tiến Industries tiền thân là CTCP Nhựa và Khoáng sản An Phát - Yên Bái được thành lập vào năm 2009. Công ty niêm yết trên Sở Giao dịch Chứng khoán TPHCM (HOSE) từ năm 2017. Hoạt động chính là sản xuất và phân phối bột đá CaCO3, hạt nhựa và nhựa phụ gia và tại ngày 31/12/2024, HII có 3 công ty con.</p>

<p>Về hoạt động kinh doanh, An Tiến Industries ghi nhận doanh thu thuần năm 2024 đạt hơn 7.206 tỷ đồng, giảm 9% so với năm trước (7.887 tỷ); lãi sau thuế đạt gần 18 tỷ (cùng kỳ đạt hơn 80 tỷ), giảm hơn 78%.</p>
",8770.0,8880.0,8260.0,9500.0,-0.01238739,AAA
